sample,fastq_1,fastq_2,strandedness
AT54-L,/home/h392x566/JZ/Sample_AT54-L/test_2000/AT54-L_S5_L001_R1_001.fastq.gz,/home/h392x566/JZ/Sample_AT54-L/test_2000/AT54-L_S5_L001_R2_001.fastq.gz,auto
AT54-R,/home/h392x566/JZ/Sample_AT54-L/test_2000/AT54-L_S5_L002_R1_001.fastq.gz,/home/h392x566/JZ/Sample_AT54-L/test_2000/AT54-L_S5_L002_R2_001.fastq.gz,auto
